Updated Matlist.txt 5/22/2011
http://www.VarmintAl.com/aengr.htm
English Units (lbf-s2/in, in, s, lbf, psi, lbf-in)
 
I.D. Material Name and Condition.                                  Density Yng's Poiss  Yld   Ult  Elong Redu  CTE  Yld
                                                                   lb/in^3 Modul Ratio  Strs  Strs   %   Area 10^-6 off-
                                                                            msi         ksi   ksi         %   /degF set
 180 ALUMINUM WROUGHT 6066 T4                                       0.0980 10.00 0.330  30.0  52.0  18.0  --- 12.90 0.20
 181 ALUMINUM WROUGHT 6066 T6                                       0.0980 10.00 0.330  52.0  57.0  12.0  --- 12.90 0.20
 182 ALUMINUM WROUGHT 6101 T6                                       0.0970 10.00 0.330  28.0  32.0  15.0  --- 13.00 0.20
 183 ALUMINUM WROUGHT 7001 O                                        0.1030 10.30 0.330  22.0  37.0  14.0  --- 13.00 0.20
 184 ALUMINUM WROUGHT 7001 T6                                       0.1030 10.30 0.330  91.0  98.0   9.0  --- 13.00 0.20
 185 ALUMINUM WROUGHT 7075 O                                        0.1010 10.30 0.330  15.0  33.0  17.0  --- 13.10 0.20
 186 ALUMINUM WROUGHT 7075 T6 OR T651                               0.1010 10.30 0.330  73.0  83.0  11.0  --- 13.10 0.20
 187 ALUMINUM WROUGHT 7075 T73                                      0.1010 10.30 0.330  63.0  72.0  11.0  --- 13.10 0.20
 188 ALUMINUM WROUGHT 7178 O                                        0.1020 10.40 0.330  15.0  33.0  16.0  --- 13.00 0.20
 189 ALUMINUM WROUGHT 7178 T6 OR T651                               0.1020 10.40 0.330  78.0  88.0  11.0  --- 13.00 0.20
 190 ALUMINUM WROUGHT 7178 T76 OR T7651                             0.1020 10.40 0.330  73.0  83.0  11.0  --- 13.00 0.20
 191 ACRYLIC LUCITE                                                 0.0430  0.43 0.400   6.0  10.5   6.0  --- 36.00 0.20
 192 BERYLLIUM S-65                                                 0.0670 42.00 0.029  30.0  42.0   3.0  ---  8.80 0.20
 193 BERYLLIUM S-200F                                               0.0670 42.00 0.029  35.0  47.0   2.0  ---  8.80 0.20
 194 BERYLLIUM 1319                                                 0.0670 42.00 0.029  35.0  50.0   3.0  ---  8.80 0.20
 195 BERYLLIUM 1162                                                 0.0670 42.00 0.029  25.0  38.0   1.0  ---  8.80 0.20
 196 BERYLLIUM QMV                                                  0.0670 42.00 0.029  30.0  50.0   5.0  ---  8.80 0.20
 197 BERYLLIUM-COPPER 10 DEAD SOFT                                  0.3190 20.00 0.310  20.0  35.0  20.0  ---  9.80 0.20
 198 BERYLLIUM-COPPER 10 PLANISHED                                  0.3190 20.00 0.310  25.0  35.0  20.0  ---  9.80 0.20
 199 BERYLLIUM-COPPER 10 H TEMPER                                   0.3190 20.00 0.310  55.0  70.0   3.0  ---  9.80 0.20
 200 BERYLLIUM-COPPER 10 AT TEMPER                                  0.3190 20.00 0.310  80.0 100.0  10.0  ---  9.80 0.20
 201 BERYLLIUM-COPPER 10 HT TEMPER                                  0.3190 20.00 0.310 100.0 110.0   8.0  ---  9.80 0.20
 202 BERYLLIUM-COPPER 10 HTR TEMPER                                 0.3190 20.00 0.310 110.0 120.0   1.0  ---  9.80 0.20
 203 BERYLLIUM-COPPER 10 HTC TEMPER                                 0.3190 20.00 0.310  50.0  75.0   8.0  ---  9.80 0.20
 204 BERYLLIUM-COPPER 25 DEAD SOFT                                  0.3020 19.00 0.310  28.0  60.0  35.0  ---  9.70 0.20
 205 BERYLLIUM-COPPER 25 PLANISHED                                  0.3020 19.00 0.310  30.0  60.0  35.0  ---  9.70 0.20
 206 BERYLLIUM-COPPER 25 1/4 H TEMPER                               0.3020 19.00 0.310  60.0  75.0  10.0  ---  9.70 0.20
 207 BERYLLIUM-COPPER 25 1/2 H TEMPER                               0.3020 19.00 0.310  75.0  85.0   5.0  ---  9.70 0.20
 208 BERYLLIUM-COPPER 25 H TEMPER                                   0.3020 19.00 0.310  90.0 100.0   2.0  ---  9.70 0.20
 209 BERYLLIUM-COPPER 25 AT TEMPER                                  0.3020 19.00 0.310 140.0 165.0   4.0  ---  9.70 0.20
 210 BERYLLIUM-COPPER 25 1/4 HT TEMPER                              0.3020 19.00 0.310 150.0 175.0   3.0  ---  9.70 0.20
 211 BERYLLIUM-COPPER 25 1/2 HT TEMPER                              0.3020 19.00 0.310 160.0 185.0   2.0  ---  9.70 0.20
 212 BERYLLIUM-COPPER 25 HT TEMPER                                  0.3020 19.00 0.310 165.0 190.0   2.0  ---  9.70 0.20
 213 BRASS CARTRIDGE CU.7 ZN.3 1/2 HARD                             0.3080 16.00 0.330  52.0  62.0  23.0  --- 11.10 0.50
 214 BRASS CARTRIDGE CU.7 ZN.3 1/4 HARD                             0.3080 16.00 0.330  40.0  54.0  43.0  --- 11.10 0.50
 215 BRASS CARTRIDGE CU.7 ZN.3 ANNEALED                             0.3080 16.00 0.330  19.0  51.0  55.0  --- 11.10 0.50
 216 BRONZE COMMERCIAL CU.9 ZN.1 1/2 HARD                           0.3180 17.00 0.330  45.0  52.0  15.0  --- 10.20 0.50
